sample_name,body_site,LAYoN,plate,position ,mean_copy,harvest_group
Abo01,Abomassum,N,Plate8,U9,1596737.5,1
Abo02,Abomassum,N,Plate6,U21,2202508,1
Abo03,Abomassum,N,Plate2,U1,463817.25,1
Abo04,Abomassum,N,Plate7,U6,454275.34,1
Abo05,Abomassum,Y,Plate6,U3,899267.06,1
Abo06,Abomassum,N,Plate5,U19,146227.52,1
Abo07,Abomassum,N,Plate3,U1,1334143.88,1
Abo08,Abomassum,Y,Plate2,U6,559841.56,1
Abo09,Abomassum,N,Plate3,U18,213747.38,1
Abo11,Abomassum,Y,Plate2,U10,1128445.88,2
Abo12,Abomassum,N,Plate2,U12,1400110.38,2
Abo13,Abomassum,N,Plate 1,U18,573708.31,2
Abo13,Abomassum,N,Plate5,U24,2053435.38,2
Abo14,Abomassum,N,Plate5,U17,2064647,2
Abo15,Abomassum,N,Plate5,U15,1307567.63,2
Abo16,Abomassum,N,Plate4,U23,141020.8,2
Abo17,Abomassum,N,Plate2,U9,98945.32,2
Abo18,Abomassum,N,Plate 1,U17,687586.31,2
Abo19,Abomassum,N,Plate5,U2,102908.96,2
Cec01,Cecum,N,Plate2,U13,3001912.75,1
Cec02,Cecum,N,Plate6,U20,4792087.5,1
Cec03,Cecum,N,Plate 1,U4,1398156.88,1
Cec04,Cecum,N,Plate8,U18,6466573.5,1
Cec05,Cecum,Y,Plate3,U7,2200389,1
Cec06,Cecum,N,Plate6,U18,6874561.5,1
Cec07,Cecum,N,Plate2,U8,3291087,1
Cec08,Cecum,Y,Plate3,U5,2219987,1
Cec09,Cecum,N,Plate5,U11,4923808.5,1
Cec11,Cecum,Y,Plate6,U7,4226714,2
Cec12,Cecum,N,Plate3,U12,6656707.5,2
Cec13,Cecum,N,Plate8,U22,4552374.5,2
Cec14,Cecum,N,Plate 1,U16,3646009,2
Cec15,Cecum,N,Plate5,U1,3022346.75,2
Cec16,Cecum,N,Plate7,U16,3933688.25,2
Cec17,Cecum,N,Plate7,U7,4606544,2
Cec18,Cecum,N,Plate4,U21,3694011,2
Cec19,Cecum,N,Plate2,U5,2719696,2
DisC02,Distal_Colon,N,Plate4,U3,775023,1
DisC03,Distal_Colon,N,Plate4,U14,838389.19,1
DisC04,Distal_Colon,N,Plate6,U2,2041514.88,1
DisC05,Distal_Colon,Y,Plate4,U4,4991.2,1
DisC06,Distal_Colon,N,Plate4,U17,1652564,1
DisC07,Distal_Colon,N,Plate3,U14,245724.2,1
DisC08,Distal_Colon,Y,Plate6,U13,1624159.38,1
DisC11,Distal_Colon,Y,Plate7,U21,5160648,2
DisC14,Distal_Colon,N,Plate5,U13,5730358,2
DisC16,Distal_Colon,N,Plate3,U16,2034281.38,2
DisC17,Distal_Colon,N,Plate5,U3,1165825.5,2
DisC18,Distal_Colon,N,Plate5,U14,1527858.63,2
DisC19,Distal_Colon,N,Plate3,U20,73254.09,2
DiscC01,Distal_Colon,N,Plate8,U1,205456.61,1
DiscC09,Distal_Colon,N,Plate8,U20,317775.28,1
DiscC12,Distal_Colon,N,Plate8,U13,2609875.5,2
DiscC13,Distal_Colon,N,Plate8,U11,3073822.25,2
DiscC15,Distal_Colon,N,Plate8,U3,1710880.13,2
Duo02,Duodenum,N,Plate3,U24,41400.93,1
Duo03,Duodenum,N,Plate4,U12,424.69,1
Duo04,Duodenum,N,Plate6,U1,27035.43,1
Duo06,Duodenum,N,Plate5,U23,7461.29,1
Duo07,Duodenum,N,Plate3,U13,70400.84,1
Duo12,Duodenum,N,Plate8,U24,3059.5,2
